YN.YSW35,25.604,99.8634,2296.0,7352940000.0
YN.TUS,25.6093,100.254,1955.0,1677850000.0
YN.NAJ,25.054,100.522,1384.4,1678000000.0
XG.XBT,25.5666,100.499,1770.0,1258650000.0
YN.YSW34,25.6663,99.959,1552.0,7352940000.0
YN.HEQ,26.549,100.151,2215.0,1671140000.0
YN.EYA,26.1088,99.9475,2063.0,1677850000.0
YN.CHN,24.8769,99.6452,1746.3,1677850000.0
YN.BAS,25.118,99.1466,1722.0,1677850000.0
YN.LUS,25.8317,98.8518,861.0,1676433333.3333333
XG.CHT,25.4893,99.9868,1449.0,1258650000.0
YN.YUL,25.8854,99.3717,1653.0,1683210000.0
YN.LAP,26.4726,99.4157,2570.0,1677850000.0
XG.CFT,25.8486,100.517,1517.0,1258650000.0
YN.YSW36,25.6493,99.6841,2107.0,7352940000.0
YC.YC002,25.5407,99.6863,1862.1,922819000.0
YC.YC001,25.5844,100.05,1505.4,922819000.0
YN.YSW02,25.5503,100.115,1900.0,12582900000.0
